########################Vae Victus Decisions#######################;;;;;;;x,,,,,,,,,,,,,,,,
extra_funding_on_title;Enable Extra Spending Decisions;;;;;;;;;;;;;x,,,,
extra_funding_on_desc;Our treasury is full of abundance, we should fund certain cultural curiosities\n\n\n?RIf our treasury drops below 50k we will stop funding our projects!\n ;;;;;;;;;;;;;x,,,, 
extra_funding_off_title;Disable Extra Spending Decisions;;;;;;;;;;;;;x,,,,
extra_funding_off_desc;We don't need to waste our money on fruitless efforts;;;;;;;;;;;;;x,,,,
deify_hanno_on_title;Enable the Cult of Hanno;;;;;;;;;;;;;x,,,,
deify_hanno_on_desc;The Cult of Hanno teaches and encourages migration to new lands, to new colonies. Now is a good time to subtly encourage their worship to help us with further colonization;;;;;;;;;;;;;x,,,, 
deify_hanno_off_title;Disable the Cult of Hanno;;;;;;;;;;;;;x,,,,
deify_hanno_off_desc;We have no more need for the Cult of Hanno at this time, we should pass laws restricting their influence once more.;;;;;;;;;;;;;x,,,,
convert_neterist_title;Create the Neterist Religion;;;;;;;;;;;;x,,,,
convert_neterist_desc;§GThis decision will greatly increase your assimilation of the Kemetic culture! (400%)\n\n§!It's proven rather difficult to assimilate the Kemetic people in our empire. After the initial attempts at Synchronization, the Ptolemies have largely abandoned that effort in favor of maintaining Hellenic orthodoxy, under the influence of the Archon of Athens. This clearly was a mistake: Only through synchronization can we truly create a new Dynasty to rival, maybe even surpass, Alexander.;;;;;;;;;;;;x,,,,
settle_kush_title;Settle the lands of Kush;;;;;;;;;;;;x,,,,
settle_kush_desc;Our control of the Kushite kingdoms is rather recent, and most of our Greek Settlers seems to prefer to settle Egypt. We should encourage more settlement and investment into these far flung lands.;;;;;;;;;;;;x,,,,
extra_funding_off_title;Disable Extra Spending Decisions;;;;;;;;;;;;;x,,,,
extra_funding_off_desc;We don't need to waste our money on fruitless efforts;;;;;;;;;;;;;x,,,,
rebuild_babylon_title;Rebuild Babylon;;;;;;;;;;;;;x,,,,
rebuild_babylon_desc;Babylon, once the greatest city on earth, has been largely abandoned for other nearby cities, such as Seleucia. It's monuments have fallen into disrepair, but it's legacy is still alive in Mesopotamia. We should rebuild this once great City back to it's former glory.;;;;;;;;;;;;;x,,,,
CRO_inherits_ALB_title;Destroy Nekharot;;;;;;;;;;;;;x,,,,
CRO_inherits_ALB_desc;After the annhilation of Judea by the Seleucids, many of the rival Diadochi accepted the fleeing Judeans, hoping to use them as loyal warriors and subjects eager to reclaim their holy land. In a perverse act, the Macedonians created a 'New Holy Land' for the Judeans in the former lands of Dardania. We must destroy this farce of a nation and expell the Judeans.;;;;;;;;;;;;;x,,,,
CRO_Dacia_title;Illyro-Dacian legacy;;;;;;;;;;;;;x,,,,
CRO_Dacia_desc;§GThis decision will greatly increase your assimilation of the Dakijan Culture (200%)\n\n§!Our smartest anthropologists have proven without a shadow of a doubt (ignoring any evidence to the contrary) that the Dacians and our Illyrian people were once one and the same. The Dacians recently have come under cultural influence of the Slavic barbarians, calling themselves 'Dakijans' now, but we can easily remind them of our shared legacy by our shared language: The Sword.;;;;;;;;;;;;;x,,,,
ARM_Anatolian_title;Anatolian Focus;;;;;;;;;;;;;x,,,,
ARM_Anatolian_desc;§GThis decision will greatly increase your assimilation of the Anatolian Culture (200%) but you will be locked out of taking another Culture decision for a few decades\n\n§!The question of expansion for the Armenian Kingdom is clear: Asia or Anatolia has been our natural expansion path for decades, and many of our kin have already settled in this land.;;;;;;;;;;;;;x,,,,
ARM_Persian_title;Persian Focus;;;;;;;;;;;;;x,,,,
ARM_Persian_desc;§GThis decision will greatly increase your assimilation of the Persian Culture (200%) but you will be locked out of taking another Culture decision for a few decades\n\n§!The question of expansion for the Armenian Kingdom is clear: We are the true inheritors of Darius' will, not these Parthian usurpers.;;;;;;;;;;;;;x,,,,
restore_romana_republic_title;Restore the Roman Republic;;;;;;;;;;;;;x,,,,
restore_romana_republic_desc;The Romqart, the 'New Romans' have abandoned their Latin heritage and language for the language of their Punic conquerors. But in Cisalpine Gaul, we've kept our Italic tongue and Religion, as much as we could. We are finally in a place to restore true Latin rule to Italy, Glory to Rome!\n\n§GThis decision will greatly increase your assimilation of the Romqart (400%);;;;;;;;;;;;;x,,,,
restore_romana_republic_title;Restore the Roman Republic;;;;;;;;;;;;;x,,,,
form_romqart_federation_title;Centralize the Rewmqart Federation;;;;;;;;;;;;;x,,,,
form_romqart_federation_desc;Following the collapse of the Carthaginian Empire, the Rewmqart Federation was formed first as just a league of Punic Colonies in Italy to fend off the Gauls, Latins, and Germans. It evolved and expanded, but it's decentralized nature lead to it's collapse. Now, we are in a position to claim it's legitimacy for our own: Glory to Rewm!;;;;;;;;;;;;;x,,,,
form_iber_title;Form Iber;;;;;;;;;;;;;x,,,,
form_iber_desc;The Barqanesh of Iberia and north Africa have long since been disunited. First, under the Carthaginian yolk, then the Suebian invaders pushed us further to the brink. We will be stronger together!;;;;;;;;;;;;;x,,,,
total_suebi_death_title;Destroy the Suebian Invaders;;;;;;;;;;;;;x,,,,
total_suebi_death_desc;§GThis decision will greatly increase your assimilation of the Suebian Culture (200%)\n\n§!Most of the civilized world were able to fight off the horde of migrations of barbarians during the Century of Crisis, but we were not so lucky as the Suebi turned out to be a cunning foe. They even converted and worship Punic gods, fooling the rest of the civilized world to think they were not barbarians anymore. Now with our successful Reconquest of Iberia, we can resettle and recivilze these lands.;;;;;;;;;;;;;x,,,,
suebi_retvrn_title;Return Home to Germania;;;;;;;;;;;;;x,,,,
suebi_retvrn_desc;Many year ago, German Tribes attempted to migrate south to warmer lands. The farthest most got was Pannonia, the rest were brutally slaughtered. We were one of the lucky few who managed to settle in a new land. But our German brothers back home are suffering, languishing in stagnation and poverty. If anyone had the right to bring 'civilization' to the Germans, it's us!;;;;;;;;;;;;;x,,,,
suebi_iber_title;A Suebian Iberia;;;;;;;;;;;;x,,,,
suebi_iber_desc;The Celtiberians were rather easy to assimilate, but the Barqanesh proved much more resistant to our rightful claim to these lands. Now though, we've finally snuffed out any resistance.;;;;;;;;;;;;x,,,,
sisters_of_tanit_reborn_title;Avenge the Massacre of Tanit's Virgins;;;;;;;;;;;;x,,,,
sisters_of_tanit_reborn_desc;Many years ago, the Civilized World extended much further north into Gaul. However, the perfidious Gauls struck with fury, slaughtering hundreds of villages, including the peaceful virgins at the old Temple of Tanit in Alesia. The surviving members, along with other Punic refugees, formed the miltant Sisters of Tanit, dedicated to the destruction of the Gauls. Now that they've finally been destroyed, they seek to helping us maintain the eternal subjugation of these vile people, forever more.;;;;;;;;;;;;x,,,,
end_mauryan_collapse_title;End the Mauryan Collapse;;;;;;;;;;;;x,,,,
end_mauryan_collapse_desc;We can either wait for our situation to stabilize...or with an injection of cash we can purge the Bureaucratic class and replace them with more effective magistrates.;;;;;;;;;;;;x,,,,
poo_in_loo_title;Restore Chandragupta's Empire;;;;;;;;;;;;x,,,,
poo_in_loo_desc;Beyond all expectations, we've managed to stabilized and reconquer our old lands, along with eliminating our rivals. Their lasting legacy still stains the land of India, but Chandragupta's Legacy is greater than Alexander or Christ!;;;;;;;;;;;;x,,,,
KSH_inherits_KRA_title;Integrate the Silesian Tribes;;;;;;;;;;;;x,,,,
KSH_inherits_KRA_desc;We must integrate the Silesian Tribe to centralize and legitimize our rule;;;;;;;;;;;;x,,,,
KSH_inherits_RUT_title;Integrate the Antes Tribes;;;;;;;;;;;;x,,,,
KSH_inherits_RUT_desc;We must integrate the Antes Tribes to centralize and legitimize our rule;;;;;;;;;;;;x,,,,
KSH_inherits_BYE_title;Integrate the Venetic Tribes;;;;;;;;;;;;x,,,,
KSH_inherits_BYE_desc;We must integrate the Venetic Tribes to centralize and legitimize our rule;;;;;;;;;;;;x,,,,
KSH_rebuild_svetovid_title;Rebuild the Svetovid Temple;;;;;;;;;;;;x,,,,
KSH_rebuild_svetovid_desc;Long Ago, the Slavic people lived in harmony to the Elb River. However the belligerant Saxons and Goths forced us Eastward once more and destroyed the great temple to Svetovid. Now we are poised to rebuild it grander than ever before!;;;;;;;;;;;;x,,,,
form_ilkhan_title;Unite the Northern Turks;;;;;;;;;;;x,,,,
form_ilkhan_desc;We should unite the Northern Turkic Tribes into one nation so we can move forward as one, strong, Khaganate;;;;;;;;;;;x,,,,
form_scythia_title;Reform Scythia;;;;;;;;;;;x,,,,
form_scythia_desc;The Turkic tribes who settled with the Scythians lived in harmony, forming a hybrid culture. We should unite all the Southern Turks into one Scythian Horde.;;;;;;;;;;;x,,,,
construct_motya_cothon_title;Construct the Grand Motya Cothon;;;;;;;;;;;x,,,,
construct_motya_cothon_desc;Motya has long been an important Cothon, but in recent years it's become woefully out of date compared to the Grand Cothon in Carthage. We should modernized this important port and raise it to the same importance;;;;;;;;;;;x,,,,
construct_motya_cothon_title;Rebuild the Kitiya Cothon;;;;;;;;;;;x,,,,
construct_motya_cothon_desc;Ptolemy I conquered Cyprus and massacre the Canaaanites on this island long ago. To start righting this wrong, we should rebuild the Cothon at Kitiya and restore Punic glory to this forgotten island.;;;;;;;;;;;x,,,,
end_the_numidian_revolt_title;End the Numidian Revolt;;;;;;;;;;;x,,,,
end_the_numidian_revolt_desc;§GThis decision will greatly increase your assimilation of the Numidian Culture (200%)\n\n§!With the final destruction of the Mauritanian Kingdom, the Numidian revolt has lost it's steam. Now we should focus on making sure such a thing never happens again with aggressive education and settlement.;;;;;;;;;;;x,,,,
hnb_numidians_title;Punish the Mauritanians;;;;;;;;;;;x,,,,
hnb_numidians_desc;§GThis decision will greatly increase your assimilation of the Numidian Culture (200%)\n\n§!We lived in harmony with the Numidians, letting them flee to our land and keep their traditions and culture intact. How did they reward us for our cultural tolerance? They massacred our villages and enslaved our people. Now that Mauritania has been destroyed once more, we will not make this mistake again, we will not let a single word of Numidian be spoken in our land!;;;;;;;;;;;x,,,,
form_gothic_empire_title;Form a Gothic Empire;;;;;;;;;;;x,,,,
form_gothic_empire_desc;The Northernmost Germanic people have started to wildly diverge from those in Germania Proper. We should protect our cultural divergence by forming an empire of own.;;;;;;;;;;;x,,,,
form_briton_title;Form Albion;;;;;;;;;;;x,,,,
form_briton_desc;The Brythonic people have started to lag behind the rest of the Celtic world, and the only way to protect our independance from encroaching influences is via a United Kingdom;;;;;;;;;;;x,,,,
saxon_unity_title;Saxon Call for Unity;;;;;;;;;;;x,,,,
saxon_unity_desc;It's clear that Germany can remain divided no longer, we must push our advantage and follow the example of the Gauls: Modernization and Centralization!;;;;;;;;;;;x,,,,
form_nordgerm_title;Unite the Northern Germans;;;;;;;;;;;x,,,,
form_nordgerm_desc;Germany has never been unified: But the encroaching influence of the 'civilized' world has forced our hands to confederate the tribes once and for all.;;;;;;;;;;;x,,,,
AUS_HUN_union_title;Inherit Vildheim;;;;;;;;;;;x,,,,
AUS_HUN_union_desc;Follwoing the untimely death of Guthred Herelingas, Regent of Vildheim, in a disasterous raid on Illyria, the kingdom has descended into Chaos. We should use this instability to assert our selves onto them with an offer to for them to rejoin the Gaugraf.;;;;;;;;;;;x,,,,
form_ostgerm_title;Reform Donovan's Empire;;;;;;;;;;;x,,,,
form_ostgerm_desc;Not long ago, the Ostgermanic tribes were united under a single, glorious, empire of Donova. Now more than ever do we need to rebuild this grand empire.;;;;;;;;;;;x,,,,
negotiate_with_belgae_title;Negotiate with the Belgae;;;;;;;;;;;x,,,,
negotiate_with_belgae_desc;§GThis decision will greatly increase your assimilation of the Belgae Culture (400%)\n\n§!The Belgae tribes have chafed against their Gaulic cousin's firm rule over them. We can clearly exploit this and turn them into our productive citizens of our own.;;;;;;;;;;;x,,,,
GAU_accepts_BEL_title;Integrate the Belgic Tribes;;;;;;;;;;;x,,,,
GAU_accepts_BEL_desc;§GThis decision will greatly increase your assimilation of the Belgae Culture (400%)\n\n§!The Belgae have long had many grievences against our rule, not to mention resisting our modernization efforts. If we want to move forward into the next century, we need to heal this division in our society.;;;;;;;;;;;x,,,,
gaul_boom_title;The Great Gaulic Awakening;;;;;;;;;;;x,,,,
gaul_boom_desc;New farming techniques and technology has the potential to truly unlock the potential of our sacred land!;;;;;;;;;;;x,,,,
end_tribal_legacy_title;End Lingering Tribal Instituitions;;;;;;;;;;;x,,,,
end_tribal_legacy_desc;§GThis decision is essentially the 'Abolish Serfdom' decision Russia has, removing the same debuff\n\n§!Our rapid modernization and centralization was done out of neccesity to stand up to the Punic invaders, but it's clear our society is still reeling from this sudden shift, many parts of our nation operate and look rather dated, we should pass laws to help elevate these forgotten corners.;;;;;;;;;;;x,,,,
PER_focus_on_internal_affairs_title;Focus on Internal Affairs;;;;;;;;;;;x,,,,
PER_focus_on_internal_affairs_desc;§GThis decision gives you a large buff to pop growth and literacy gain but punishes expansion, it also can only be taken early on in the game\n\n§!After consolidating our administration, and dealing with the Revolt of the Satraps, there are many in the King's court who advise against immediately jumping into campaigns of Warefare. Instead we should build up, bide our time, and wait for the perfect time to strike when the armies of Cyrus are ready to restore order to the world.;;;;;;;;;;;x,,,,
PER_cyrus_legacy_title;The Legacy of Cyrus the Great;;;;;;;;;;x,,,,
PER_cyrus_legacy_desc;§GThis decision gives a special National Focus that greatly increases assimilation, migration, and lowers militancy. It also speeds up the core creation event by an insane amount\n\n§!The Achaemenid Empire, founded by Cyrus the Great, was renowned for its policy of respecting the customs and religions of its diverse subjects. By following his legacy we shall become a true empire of all nations!;;;;;;;;;;x,,,,
form_china_claimant_title;Unite Huaxia;;;;;;;;;;;x,,,,
form_china_claimant_desc;§GThis removes the 'Chinese Civil War' Modifier early and allows you to inherit any AI nations with Hua or Yi cultures\n\n§!The concept of Huaxia, a united kingdom of Civilized people, has seemed to almost been lost entirely. Now though, we can finally restore and reclaim this rightful legacy. Let all under Heaven bask in our glory!;;;;;;;;;;;x,,,,
korea_china_title;Reclaim the Mandate of Heaven;;;;;;;;;;;x,,,,
korea_china_desc;§RMutually Exclusive with the Japanese Path. §GThis gives you the 'Chinese Kingdom' Country Flag which gives you access to the cheaper Chinese Civil War CBs.\n\n§!Long ago, Emperor Wu conquered Gojoseon and set up several Commanderies to bring civilization to these barbaric lands. The Han Empire has fallen though, and we are the last vestiges of it's Administrative legacy. Now that we have caught back up to modern standards, it is time for us to focus on reclaiming our legacy!;;;;;;;;;;;x,,,,
korea_colonize_title;Rise of the Japonic Dynasty;;;;;;;;;;;x,,,,
korea_colonize_desc;§RMutually Exclusive with the Chinese Path.\n\n§!The Barbarian islands of the Wae are rich in resources and people. A shift in power has started in our nation that has put the Japonic Speakers of the south in power, and they see an opportunity to settle these untapped lands.;;;;;;;;;;;x,,,,
punic_industry_title;Encourage Tanit Worship;;;;;;;;;;;x,,,,
punic_industry_desc;We should encourage our various cities to adopt the Baalat Tanit, this will increase our population's productivity;;;;;;;;;;;x,,,,
jihad_title;Declare Jihad;;;;;;;;;;;x,,,,
jihad_desc;It is clear that now is the time for us to declare a Jihad against the Infidels of the world. Alhamdulillah!;;;;;;;;;;;x,,,,
abrahamic_charity_title;Encourage Almsgiving;;;;;;;;;;;x,,,,
abrahamic_charity_desc;Charity is a commandment by our LORD YHWH/Allah, but our populace has started to forsake this important virtue. We should remind them of their duty.;;;;;;;;;;;x,,,,
polytheism_sync_title;Encourage Syncretism;;;;;;;;;;;x,,,,
polytheism_sync_desc;To help assimilate our newly conquered citizens, we should integrate their gods into our pantheon.;;;;;;;;;;;x,,,,
christian_evangelism_on_title;Enable Christian Evangelism;;;;;;;;;;;x,,,,
christian_evangelism_on_desc;We should focus on spreading the Good News to the unbelievers in our realm. Christ is King!;;;;;;;;;;;x,,,,
christian_evangelism_off_title;Disable Christian Evangelism;;;;;;;;;;;x,,,,
christian_evangelism_off_desc;We can't keep the focus of conversion going any longer, it's time to end it and focus on more pressing Worldly Concerns.;;;;;;;;;;;x,,,,
build_chicago_canal_title;Build the Chicago Canal;;;;;;;;;;;;x,,,,
build_chicago_canal_desc;A Canal that connects the Great Lakes to the Mississippi River will make trade and transport across our New World colonies much easier.;;;;;;;;;;;;x,,,,
culture_QUE_title;Force Culture on Gimradh;;;;;;;;;;;x,,,,
